,index,name,state,county,elevation,commodity,lat,lon,distance_km
236,https://westernmininghistory.com/mine-detail/10270200/,Horse Springs Group,Nevada,Clark,,Uranium,36.3111,-114.1458,93.10109615365434
237,https://westernmininghistory.com/mine-detail/10173720/,Houghton Mine,Nevada,Clark,"3,839 Feet
                    (1,170 Meters)",Zinc,35.7719,-115.4403,41.6031894725799
238,https://westernmininghistory.com/mine-detail/10037220/,Houghton Mine,Nevada,Clark,"3,999 Feet
                    (1,219 Meters)",Zinc,35.77167,-115.44,41.60418741267223
239,https://westernmininghistory.com/mine-detail/10294355/,Humdinger,Nevada,Clark,"3,199 Feet
                    (975 Meters)",Uranium,35.8319,-115.3078,28.998132609805584
240,https://westernmininghistory.com/mine-detail/10124686/,Imperial Silica Sand Co.,Nevada,Clark,,Silica,36.4672,-114.4653,75.61862870028342
241,https://westernmininghistory.com/mine-detail/10246230/,Ingomar & Milford No. 2 Mines,Nevada,Clark,"3,120 Feet
                    (951 Meters)",Zinc,35.7125,-115.5056,50.45520259957271
242,https://westernmininghistory.com/mine-detail/10037221/,Ingomar and Milford No. 2 Mines,Nevada,Clark,,"Zinc, Lead",35.70611,-115.48778,49.94002798764273
243,https://westernmininghistory.com/mine-detail/10221710/,Ireland Mine,Nevada,Clark,"3,360 Feet
                    (1,024 Meters)",Lead,35.7619,-115.4175,41.120960516974755
244,https://westernmininghistory.com/mine-detail/10037222/,Ireland Mine,Nevada,Clark,"3,399 Feet
                    (1,036 Meters)","Lead, Copper",35.76194,-115.41722,41.10169320893978
245,https://westernmininghistory.com/mine-detail/10173493/,Iron Age Claims,Nevada,Clark,"3,999 Feet
                    (1,219 Meters)",Lead,36.2342,-115.3681,29.504723306143056
246,https://westernmininghistory.com/mine-detail/10037149/,Iron Age Claims,Nevada,Clark,,"Lead, Zinc",36.23778,-115.3725,30.065094548033716
247,https://westernmininghistory.com/mine-detail/10294802/,Iron Gold Mine,Nevada,Clark,"4,236 Feet
                    (1,291 Meters)",Gold,35.8419,-115.4756,38.677031971705524
248,https://westernmininghistory.com/mine-detail/10149644/,Ironside,Nevada,Clark,"3,599 Feet
                    (1,097 Meters)",Copper,35.8319,-115.5611,45.661463361649716
249,https://westernmininghistory.com/mine-detail/10037223/,Ironside Mine,Nevada,Clark,,Copper,35.83139,-115.56083,45.67115590624479
250,https://westernmininghistory.com/mine-detail/10246452/,J and S Group,Nevada,Clark,"8,520 Feet
                    (2,597 Meters)",Lead,36.3444,-115.6564,57.355427517024026
251,https://westernmininghistory.com/mine-detail/10221483/,J E T Mine,Nevada,Clark,"3,750 Feet
                    (1,143 Meters)",Gold,35.4972,-114.9111,64.6163891374954
252,https://westernmininghistory.com/mine-detail/10037139/,J. E. T.,Nevada,Clark,"3,701 Feet
                    (1,128 Meters)",Gold,35.49833,-114.91194,64.47348516952201
